7.0131e-09, 3.5651e-11, 5.7831
5.8616e-09, 2.5555e-11, 5.8233
4.8991e-09, 1.8276e-11, 5.8635
4.0947e-09, 1.304e-11, 5.9036
3.4223e-09, 9.2829e-12, 5.9438
2.8604e-09, 6.593e-12, 5.9839
2.3907e-09, 4.6718e-12, 6.0241
1.9982e-09, 3.3028e-12, 6.0643
1.6701e-09, 2.3296e-12, 6.1044
1.3959e-09, 1.6394e-12, 6.1446
1.1667e-09, 1.151e-12, 6.1847
9.751e-10, 8.0627e-13, 6.2249
8.1499e-10, 5.6348e-13, 6.2651
6.8117e-10, 3.9289e-13, 6.3052
5.6932e-10, 2.7332e-13, 6.3454
4.7584e-10, 1.897e-13, 6.3855
3.9771e-10, 1.3136e-13, 6.4257
3.3241e-10, 9.0751e-14, 6.4659
2.7783e-10, 6.2552e-14, 6.506
2.3221e-10, 4.3017e-14, 6.5462
1.9408e-10, 2.9514e-14, 6.5863
1.6221e-10, 2.0203e-14, 6.6265
1.3558e-10, 1.3798e-14, 6.6667
1.1332e-10, 9.4015e-15, 6.7068
9.4709e-11, 6.3913e-15, 6.747
7.9158e-11, 4.3349e-15, 6.7871
6.6161e-11, 2.9334e-15, 6.8273
5.5297e-11, 1.9804e-15, 6.8675
4.6218e-11, 1.3339e-15, 6.9076
3.8629e-11, 8.9644e-16, 6.9478
3.2286e-11, 6.0105e-16, 6.988
2.6985e-11, 4.0206e-16, 7.0281
2.2554e-11, 2.6833e-16, 7.0683
1.8851e-11, 1.7867e-16, 7.1084
1.5755e-11, 1.187e-16, 7.1486
1.3168e-11, 7.8673e-17, 7.1888
1.1006e-11, 5.2024e-17, 7.2289
9.199e-12, 3.4323e-17, 7.2691
7.6885e-12, 2.2593e-17, 7.3092
6.4261e-12, 1.4837e-17, 7.3494
5.3709e-12, 9.7213e-18, 7.3896
4.489e-12, 6.3548e-18, 7.4297
3.7519e-12, 4.1446e-18, 7.4699
3.1359e-12, 2.6968e-18, 7.51
2.621e-12, 1.7508e-18, 7.5502
2.1906e-12, 1.134e-18, 7.5904
1.8309e-12, 7.3279e-19, 7.6305
1.5303e-12, 4.7245e-19, 7.6707
1.279e-12, 3.039e-19, 7.7108
1.069e-12, 1.9503e-19, 7.751
8.9348e-13, 1.2487e-19, 7.7912
7.4677e-13, 7.977e-20, 7.8313
6.2415e-13, 5.0841e-20, 7.8715
5.2167e-13, 3.2328e-20, 7.9116
4.3601e-13, 2.0509e-20, 7.9518
3.6442e-13, 1.2981e-20, 7.992
3.0458e-13, 8.1976e-21, 8.0321
2.5457e-13, 5.1648e-21, 8.0723
2.1277e-13, 3.2465e-21, 8.1124
1.7783e-13, 2.036e-21, 8.1526
1.4863e-13, 1.274e-21, 8.1928
1.2423e-13, 7.9528e-22, 8.2329
