0.80016, 0.84515
0.79951, 0.84418
0.79758, 0.84127
0.79434, 0.83644
0.78982, 0.82972
0.78401, 0.82116
0.7769, 0.81082
0.76852, 0.79877
0.75887, 0.78508
0.74795, 0.76986
0.7358, 0.75319
0.72242, 0.73518
0.70786, 0.71596
0.69215, 0.69563
0.67534, 0.67433
0.65748, 0.65217
0.63863, 0.62929
0.61887, 0.60582
0.59828, 0.58187
0.57694, 0.55759
0.55495, 0.53309
0.53242, 0.5085
0.50944, 0.48392
0.48614, 0.45947
0.46262, 0.43526
0.43899, 0.41137
0.41538, 0.38789
0.3919, 0.36492
0.36865, 0.34251
0.34574, 0.32074
0.32327, 0.29967
0.30133, 0.27933
0.28001, 0.25977
0.25938, 0.24103
0.23952, 0.22313
0.22046, 0.20608
0.20228, 0.18989
0.18499, 0.17458
0.16863, 0.16012
0.15321, 0.14653
0.13875, 0.13378
0.12523, 0.12187
0.11266, 0.11075
0.10101, 0.10042
0.090261, 0.090844
0.080386, 0.081991
0.071351, 0.07383
0.063117, 0.066329
0.055645, 0.059453
0.048892, 0.053167
0.042812, 0.047436
0.037361, 0.042225
0.032493, 0.037501
0.028163, 0.033228
0.024327, 0.029374
0.020942, 0.025908
0.017966, 0.022798
0.015361, 0.020015
0.013088, 0.017532
0.011114, 0.015321
0.0094048, 0.013358
0.0079315, 0.01162
0.0066661, 0.010085
0.0055835, 0.0087322
0.0046606, 0.0075436
0.0038771, 0.0065018
0.0032142, 0.005591
0.0026556, 0.0047968
0.0021865, 0.0041059
0.0017942, 0.0035064
0.0014672, 0.0029875
0.0011957, 0.0025396
0.00097116, 0.0021539
0.00078608, 0.0018225
0.0006341, 0.0015386
0.00050977, 0.0012959
0.00040842, 0.001089
0.0003261, 0.000913
0.00025949, 0.0007637
0.00020579, 0.00063734
0.00016264, 0.00053066
0.00012811, 0.00044082
0.00010056, 0.00036535
7.8672e-05, 0.0003021
6.1339e-05, 0.00024923
4.7662e-05, 0.00020514
3.691e-05, 0.00016846
2.8486e-05, 0.00013802
2.1911e-05, 0.00011282
1.6796e-05, 9.2005e-05
1.2832e-05, 7.4861e-05
9.7705e-06, 6.0771e-05
7.4143e-06, 4.9219e-05
5.6072e-06, 3.9771e-05
4.2264e-06, 3.2063e-05
3.1748e-06, 2.579e-05
2.3769e-06, 2.0696e-05
1.7735e-06, 1.657e-05
1.3188e-06, 1.3236e-05
9.7744e-07, 1.0548e-05
7.2198e-07, 8.3873e-06
5.315e-07, 6.6536e-06
3.8996e-07, 5.2661e-06
2.8516e-07, 4.1584e-06
2.0782e-07, 3.2761e-06
1.5095e-07, 2.575e-06
1.0927e-07, 2.0194e-06
7.884e-08, 1.58e-06
5.6692e-08, 1.2333e-06
4.063e-08, 9.6051e-07
2.9021e-08, 7.4633e-07
2.066e-08, 5.7857e-07
1.4658e-08, 4.4749e-07
1.0366e-08, 3.4531e-07
